         558378 function calls (525617 primitive calls) in 7.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     15/5    0.001    0.000    0.005    0.001 {built-in method builtins.exec}
        2    0.000    0.000    0.005    0.002 base.py:280(parameters)
      512    0.000    0.000    0.004    0.000 base.py:499(_freeze_impl)
        1    0.000    0.000    0.004    0.004 base.py:590(eval)
        1    0.000    0.000    0.004    0.004 base.py:572(train)
        1    0.000    0.000    0.004    0.004 utils.py:163(_get_classes)
        1    0.000    0.000    0.004    0.004 qwen3_5_moe.py:1(<module>)
       60    0.000    0.000    0.004    0.000 inspect.py:3319(signature)
       60    0.000    0.000    0.004    0.000 inspect.py:3032(from_callable)
   180/60    0.000    0.000    0.004    0.000 inspect.py:2413(_signature_from_callable)
6838/6836    0.001    0.000    0.004    0.000 {built-in method builtins.hasattr}
     2363    0.001    0.000    0.004    0.000 base.py:290(children)
        2    0.000    0.000    0.004    0.002 base.py:13(from_dict)
       40    0.000    0.000    0.004    0.000 qwen3_next.py:309(__init__)
      120    0.000    0.000    0.003    0.000 switch_layers.py:131(to_quantized)
        1    0.000    0.000    0.003    0.003 qwen3_5.py:1(<module>)
      391    0.002    0.000    0.003    0.000 linear.py:48(__init__)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:826(get_code)
        1    0.000    0.000    0.003    0.003 contextlib.py:145(__exit__)
        1    0.000    0.000    0.003    0.003 configuration_utils.py:680(from_dict)
      520    0.003    0.000    0.003    0.000 cache.py:331(update_and_fetch)
     1560    0.003    0.000    0.003    0.000 qwen3_next.py:71(__call__)
      120    0.001    0.000    0.003    0.000 switch_layers.py:28(__init__)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.003    0.003 configuration_utils.py:826(__repr__)
        1    0.000    0.000    0.003    0.003 configuration_utils.py:925(to_json_string)
       30    0.000    0.000    0.003    0.000 qwen3_5.py:87(__init__)
       11    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
       60    0.001    0.000    0.002    0.000 inspect.py:2307(_signature_from_function)
        1    0.000    0.000    0.002    0.002 configuration_utils.py:832(to_diff_dict)
     2080    0.002    0.000    0.002    0.000 switch_layers.py:156(__call__)
        1    0.000    0.000    0.002    0.002 configuration_auto.py:1156(__getitem__)
        1    0.000    0.000    0.002    0.002 contextlib.py:136(__enter__)
     5252    0.002    0.000    0.002    0.000 normalization.py:142(__call__)
        1    0.000    0.000    0.002    0.002 tokenization_utils_base.py:2209(encode)
        1    0.000    0.000    0.002    0.002 tokenization_utils_tokenizers.py:822(_encode_plus)
     6902    0.001    0.000    0.002    0.000 base.py:234(valid_parameter_filter)
        4    0.000    0.000    0.002    0.000 dataclasses.py:1414(dataclass)
        4    0.000    0.000    0.002    0.000 dataclasses.py:1431(wrap)
        4    0.000    0.000    0.002    0.000 dataclasses.py:986(_process_class)
        1    0.002    0.002    0.002    0.002 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
     1400    0.000    0.000    0.002    0.000 base.py:61(__init__)
     1560    0.002    0.000    0.002    0.000 convolution.py:76(__call__)
